06:05:88:5f:86:09,06:05:88:5f:87:f7,06:05:88:5f:87:f8,06:05:88:5f:86:08,06:05:88:5f:83:8e,06:05:88:23:7c:a8,06:05:88:5f:84:c9,06:05:88:23:7c:dc,06:05:88:5f:81:c7,06:05:88:5f:83:8d,06:05:88:23:81:84,06:05:88:5f:81:9e,06:05:88:5f:85:7d,06:05:88:5f:81:c6,06:05:88:5f:85:55,06:05:88:5f:81:9f,06:05:88:23:7c:34,06:05:88:23:83:cc,06:05:88:23:7c:9c,06:05:88:5f:85:ef,06:05:88:5f:84:00,06:05:88:5f:84:dd,06:05:88:5f:80:f5,0e:05:88:5f:86:09,0e:05:88:5f:87:f7,0e:05:88:5f:87:f8,0e:05:88:5f:86:08,0e:05:88:5f:83:8e,0e:05:88:23:7c:a8,0e:05:88:5f:84:c9,0e:05:88:5f:81:c7,0e:05:88:23:81:84,0e:05:88:5f:83:8d,0e:05:88:5f:85:7d,0e:05:88:5f:81:9e,0e:05:88:5f:85:55,0e:05:88:5f:81:9f,0e:05:88:23:7c:34,0e:05:88:23:83:cc,0e:05:88:5f:85:ef,0e:05:88:23:7c:9c,0e:05:88:5f:84:dd,0e:05:88:5f:80:f5,1e:05:88:5f:86:09,1e:05:88:5f:87:f7,1e:05:88:5f:87:f8,1e:05:88:5f:84:c8,1e:05:88:5f:83:8e,1e:05:88:23:7c:a8,1e:05:88:5f:84:c9,1e:05:88:5f:81:c7,1e:05:88:5f:85:7c,1e:05:88:23:81:84,1e:05:88:5f:83:8d,1e:05:88:5f:85:7d,1e:05:88:5f:81:9e,1e:05:88:5f:85:55,1e:05:88:5f:81:9f,1e:05:88:23:83:cc,1e:05:88:23:7c:9c,12:05:88:5f:86:09,12:05:88:5f:87:f7,12:05:88:5f:87:f8,12:05:88:5f:86:08,12:05:88:5f:83:8e,12:05:88:23:7c:a8,12:05:88:5f:84:c9,12:05:88:5f:81:c7,12:05:88:5f:85:7c,12:05:88:5f:83:8d,12:05:88:5f:85:7d,12:05:88:23:81:84,12:05:88:5f:81:9e,12:05:88:5f:85:55,12:05:88:5f:81:9f,12:05:88:23:7c:34,12:05:88:23:83:cc,12:05:88:23:7c:9c,12:05:88:5f:85:ef,12:05:88:5f:80:f5,16:05:88:5f:86:09,16:05:88:5f:87:f7,16:05:88:5f:87:f8,16:05:88:5f:86:08,16:05:88:5f:84:c8,16:05:88:5f:83:8e,16:05:88:23:7c:a8,16:05:88:5f:84:c9,16:05:88:5f:81:c7,16:05:88:5f:85:7c,16:05:88:5f:83:8d,16:05:88:23:81:84,16:05:88:5f:85:7d,16:05:88:5f:81:9e,16:05:88:5f:85:55,16:05:88:5f:81:9f,16:05:88:23:83:cc,16:05:88:23:7c:9c,16:05:88:5f:85:ef,16:05:88:5f:80:f5,0a:05:88:5f:87:f7,1a:05:88:5f:87:f7,1a:05:88:5f:87:f8,0a:05:88:5f:87:f8,06:69:6c:e7:a9:07,06:69:6c:e7:a9:08,1a:05:88:5f:84:c8,70:2e:d9:22:85:78,0a:05:88:5f:84:c9,1a:05:88:5f:84:c9,0a:05:88:5f:81:c7,1a:05:88:5f:81:c7,fe:34:5a:e4:00:cf,0a:05:88:5f:83:8d,1a:05:88:5f:83:8d,1a:05:88:23:81:84,0a:05:88:5f:81:9e,0a:05:88:5f:81:c6,78:dd:d9:8c:74:e6,1a:05:88:23:83:cc,0a:05:88:23:7c:9c,1a:05:88:23:7c:9c,0a:05:88:5f:85:ef,0a:05:88:5f:84:dd,0a:05:88:5f:80:f5,x,y
-34,-39,-45,-46,-54,-54,-56,-57,-57,-58,-59,-61,-61,-63,-63,-64,-64,-70,-77,-80,-81,-84,-91,-34,-39,-45,-46,-53,-54,-56,-57,-59,-59,-60,-61,-63,-64,-66,-71,-77,-78,-83,-92,-34,-39,-45,-52,-54,-54,-56,-57,-58,-59,-59,-60,-62,-63,-64,-70,-78,-35,-39,-45,-46,-54,-54,-56,-57,-58,-58,-60,-60,-62,-63,-64,-66,-71,-78,-79,-91,-35,-39,-45,-46,-53,-54,-54,-55,-57,-58,-58,-59,-61,-62,-63,-64,-70,-78,-78,-92,-39,-39,-45,-46,-50,-51,-53,-55,-56,-56,-57,-57,-58,-58,-58,-59,-61,-63,-64,-70,-77,-78,-78,-83,-90,10.1,8.5
-34,-39,-45,-46,-54,-54,-56,-57,-57,-58,-59,-61,-61,-63,-63,-64,-64,-70,-77,-80,-81,-84,-91,-34,-39,-45,-46,-53,-54,-56,-57,-59,-59,-60,-61,-63,-64,-66,-71,-77,-78,-83,-92,-34,-39,-45,-52,-54,-54,-56,-57,-58,-59,-59,-60,-62,-63,-64,-70,-78,-35,-39,-45,-46,-54,-54,-56,-57,-58,-58,-60,-60,-62,-63,-64,-66,-71,-78,-79,-91,-35,-39,-45,-46,-53,-54,-54,-55,-57,-58,-58,-59,-61,-62,-63,-64,-70,-78,-78,-92,-39,-39,-45,-46,-50,-51,-53,-55,-56,-56,-57,-57,-58,-58,-58,-59,-61,-63,-64,-70,-77,-78,-78,-83,-90,10.1,8.5
